county,countyname,state,max_pop_county,max_pop_countyname,mi_to_county,dist_cat,meat_plant
29139,Montgomery County,MO,29510,St. Louis County,68.93,3,N
48147,Fannin County,TX,48113,Dallas County,68.99,3,N
8049,Grand County,CO,8031,Denver County,69.05,3,N
37193,Wilkes County,NC,37119,Mecklenburg County,69.05,3,N
53057,Skagit County,WA,53033,King County,69.06,3,N
46111,Sanborn County,SD,46099,Minnehaha County,69.06,3,N
51183,Sussex County,VA,51810,Virginia Beach County,69.07,3,N
48425,Somervell County,TX,48113,Dallas County,69.09,3,N
37067,Forsyth County,NC,37119,Mecklenburg County,69.17,3,N
22091,St. Helena Parish,LA,22071,Orleans Parish,69.36,3,N
28031,Covington County,MS,28049,Hinds County,69.37,3,N
39005,Ashland County,OH,39035,Cuyahoga County,69.41,3,N
29073,Gasconade County,MO,29510,St. Louis County,69.47,3,N
1065,Hale County,AL,1073,Jefferson County,69.47,3,N
1093,Marion County,AL,1073,Jefferson County,69.48,3,N
2170,Matanuska-Susitna Borough,AK,2020,Anchorage Municipality,69.55,3,N
34011,Cumberland County,NJ,34021,Mercer County,69.55,3,N
51036,Charles City County,VA,51810,Virginia Beach County,69.58,3,N
27147,Steele County,MN,27053,Hennepin County,69.6,3,N
38035,Grand Forks County,ND,38017,Cass County,69.64,3,N
42025,Carbon County,PA,42101,Philadelphia County,69.69,3,N
51001,Accomack County,VA,51810,Virginia Beach County,69.72,3,N
45049,Hampton County,SC,45019,Charleston County,69.77,3,N
29163,Pike County,MO,29510,St. Louis County,69.8,3,N
5019,Clark County,AR,5119,Pulaski County,69.86,3,N
8069,Larimer County,CO,8031,Denver County,69.89,3,N
54081,Raleigh County,WV,54011,Cabell County,69.96,3,N
20151,Pratt County,KS,20173,Sedgwick County,70.09,3,N
45009,Bamberg County,SC,45019,Charleston County,70.11,3,N
41007,Clatsop County,OR,41051,Multnomah County,70.25,3,N
72011,Añasco Municipio,PR,72127,San Juan Municipio,70.34,3,N
1075,Lamar County,AL,1073,Jefferson County,70.36,3,N
33009,Grafton County,NH,33011,Hillsborough County,70.37,3,N
40123,Pontotoc County,OK,40109,Oklahoma County,70.4,3,N
47135,Perry County,TN,47037,Davidson County,70.53,3,N
18165,Vermillion County,IN,18097,Marion County,70.55,3,N
72005,Aguadilla Municipio,PR,72127,San Juan Municipio,70.62,3,N
72079,Lajas Municipio,PR,72127,San Juan Municipio,70.79,3,N
13237,Putnam County,GA,13121,Fulton County,70.96,3,N
33003,Carroll County,NH,33011,Hillsborough County,71.05,3,N
18167,Vigo County,IN,18097,Marion County,71.12,3,N
19027,Carroll County,IA,19153,Polk County,71.15,3,N
13213,Murray County,GA,13121,Fulton County,71.27,3,N
1107,Pickens County,AL,1073,Jefferson County,71.45,3,N
72067,Hormigueros Municipio,PR,72127,San Juan Municipio,71.58,3,N
