State,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20
CO Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,4,6,7,7,11,19,24,31,44,47,54,69,80,97,111,126,139,150,179,193,227,250,274,290,290,329,357,374,391,411,422,449,486,508,550,672,670,678,704,736,766,777,820,832,842,851,901,921,944,959,967,971,987,1009,1062,1091,1150,1192,1214,1224,1257,1298,1308,1321,1325,1329,1332,1351,1392,1421,1436,1443,1445,1457,1473,1493,1510,1521,1525,1525,1541,1552,1572,1583,1595,1598,1599,1604,1617,1631,1637,1643,1647,1647,1651,1665,1667
MI Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,6,14,23,41,57,86,104,127,184,259,337,417,479,540,616,727,845,959,1076,1280,1391,1487,1487,1768,1921,2093,2227,2308,2390,2467,2702,2815,2979,3087,3275,3317,3408,3569,3672,3790,3867,4020,4049,4134,4178,4249,4342,4393,4525,4550,4583,4672,4711,4785,4823,4879,4890,4914,5016,5059,5127,5156,5219,5226,5239,5266,5334,5371,5405,5463,5491,5514,5551,5570,5595,5854,5890,5894,5911,5943,5953,5982,5989,6013,6014,6017,6033,6035,6061,6067,6086,6089,6095,6108,6114
MN Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,5,9,10,10,17,18,22,24,29,30,34,39,50,57,64,70,70,78,86,94,111,121,134,143,160,179,200,221,244,272,286,301,319,343,370,394,418,427,455,485,508,534,558,578,591,614,638,663,683,700,721,730,747,776,808,840,850,867,880,898,931,966,995,1026,1040,1050,1072,1086,1115,1148,1169,1185,1196,1217,1236,1249,1274,1283,1296,1302,1311,1323,1341,1361,1372,1380,1384,1393,1397
NE Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,4,5,6,6,6,6,6,6,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,70,72,75,78,79,79,82,86,91,92,96,99,101,103,107,113,118,122,122,124,128,135,141,145,145,148,148,151,160,161,166,166,167,176,179,184,185,186,187,187,188,191,195,212,216,216,216,220,231,234,239,244,244,244,249,256,257
PA Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,6,7,11,16,22,34,38,48,63,74,90,102,136,150,162,240,309,338,416,494,507,507,584,647,647,756,836,1112,1204,1390,1413,1421,1492,1536,1549,1596,1715,2192,2290,2352,2417,2441,2454,3001,3094,3395,3586,3669,3687,3710,3785,3917,4120,4171,4204,4207,4493,4623,4765,4868,4984,5096,5124,5139,5152,5265,5373,5464,5537,5555,5537,5667,5742,5817,5886,5931,5943,5953,6014,6062,6113,6162,6211,6214,6243,6276,6319,6361,6399,6419,6423,6426,6464,6518
SD Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,5,5,5,5,5,5,5,5,5,6,6,7,7,7,8,9,9,9,10,11,11,11,13,17,21,21,21,21,24,29,31,31,34,34,34,39,39,43,44,44,44,44,44,46,48,50,50,50,50,50,54,54,59,60,60,62,62,62,64,65,65,65,65,68,69,73,74,75,75,75,77,78,78,81,81,81,81,83,84
TX Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,5,5,5,9,11,15,21,23,30,35,39,50,64,77,90,107,127,141,155,178,199,226,254,271,271,318,364,393,428,453,477,495,517,543,560,592,622,646,662,689,731,781,815,846,866,883,906,946,972,1003,1048,1087,1098,1131,1157,1215,1271,1304,1334,1344,1366,1415,1437,1478,1503,1516,1524,1532,1557,1597,1623,1645,1669,1675,1695,1731,1764,1785,1814,1826,1832,1853,1885,1920,1939,1957,1974,1981,2028,2061,2104,2140,2165,2181,2191,2220,2249
