county,countyname,state,max_pop_county,max_pop_countyname,mi_to_county,dist_cat
36013,Chautauqua County,NY,36061,New York County,300.29,6
48115,Dawson County,TX,48113,Dallas County,300.33,6
46093,Meade County,SD,46099,Minnehaha County,300.57,6
12109,St. Johns County,FL,12086,Miami-Dade County,300.63,6
46103,Pennington County,SD,46099,Minnehaha County,301.26,6
38011,Bowman County,ND,38017,Cass County,302.61,6
48163,Frio County,TX,48113,Dallas County,302.70,6
26041,Delta County,MI,26163,Wayne County,302.97,6
12001,Alachua County,FL,12086,Miami-Dade County,303.02,6
29005,Atchison County,MO,29510,St. Louis County,303.21,6
48011,Armstrong County,TX,48113,Dallas County,303.32,6
48317,Martin County,TX,48113,Dallas County,303.54,6
27069,Kittson County,MN,27053,Hennepin County,303.58,6
6009,Calaveras County,CA,6037,Los Angeles County,303.96,6
17069,Hardin County,IL,17031,Cook County,304.17,6
48189,Hale County,TX,48113,Dallas County,304.46,6
51173,Smyth County,VA,51810,Virginia Beach County,305.11,6
46105,Perkins County,SD,46099,Minnehaha County,305.98,6
48025,Bee County,TX,48113,Dallas County,306.03,6
56041,Uinta County,WY,56021,Laramie County,306.17,6
38105,Williams County,ND,38017,Cass County,306.29,6
48105,Crockett County,TX,48113,Dallas County,306.43,6
51185,Tazewell County,VA,51810,Virginia Beach County,306.72,6
6077,San Joaquin County,CA,6037,Los Angeles County,308.17,6
55007,Bayfield County,WI,55079,Milwaukee County,308.53,6
48391,Refugio County,TX,48113,Dallas County,308.61,6
36063,Niagara County,NY,36061,New York County,308.73,6
26109,Menominee County,MI,26163,Wayne County,308.82,6
48437,Swisher County,TX,48113,Dallas County,309.87,6
38033,Golden Valley County,ND,38017,Cass County,310.94,6
55013,Burnett County,WI,55079,Milwaukee County,311.05,6
48329,Midland County,TX,48113,Dallas County,312.46,6
48393,Roberts County,TX,48113,Dallas County,312.76,6
32005,Douglas County,NV,32003,Clark County,312.84,6
17151,Pope County,IL,17031,Cook County,312.99,6
17087,Johnson County,IL,17031,Cook County,313.30,6
12019,Clay County,FL,12086,Miami-Dade County,313.59,6
48295,Lipscomb County,TX,48113,Dallas County,313.77,6
6001,Alameda County,CA,6037,Los Angeles County,313.98,6
48297,Live Oak County,TX,48113,Dallas County,315.44,6
2060,Bristol Bay Borough,AK,2020,Anchorage Municipality,315.53,6
12007,Bradford County,FL,12086,Miami-Dade County,316.47,6
56023,Lincoln County,WY,56021,Laramie County,316.83,6
2282,Yakutat City and Borough,AK,2020,Anchorage Municipality,316.90,6
12041,Gilchrist County,FL,12086,Miami-Dade County,317.01,6
17181,Union County,IL,17031,Cook County,317.06,6
6003,Alpine County,CA,6037,Los Angeles County,317.19,6
30029,Flathead County,MT,30111,Yellowstone County,317.30,6
38023,Divide County,ND,38017,Cass County,317.45,6
48065,Carson County,TX,48113,Dallas County,319.04,6
48271,Kinney County,TX,48113,Dallas County,319.69,6
6081,San Mateo County,CA,6037,Los Angeles County,320.05,6
12029,Dixie County,FL,12086,Miami-Dade County,320.16,6
31069,Garden County,NE,31055,Douglas County,320.52,6
48311,McMullen County,TX,48113,Dallas County,321.14,6
31049,Deuel County,NE,31055,Douglas County,321.36,6
